zone,lat,lon
1A,26.358680502651247,-97.87375159643761
2A,29.400322,-96.75286680457583
2B,32.8526215,-113.27279412943344
3A,33.508517,-89.00515143164692
3B,32.5269815,-103.50991772727227
3C,35.992357999999996,-120.98728540577919
4A,38.1708055,-91.20302616307305
4B,35.092044,-102.91511913728512
4C,44.5475895,-122.9474155736836
5A,41.17887063558215,-88.98559598515362
5B,41.23272899999999,-117.0624140597901
5C,48.1378205,-124.10426020158451
6A,45.775341499999996,-98.59242126992896
6B,44.224678999999995,-107.08875116872312
7A,46.458749499999996,-87.61639551616341
